date,tweet_pgh,tweet_sf,tweet_ny,tweet_houston,tweet_cleveland,tweet_seattle,tweet_miami,tweet_detroit,tweet_chicago,tweet_london,flickr_pgh,instagram_pgh 
Mon May 05 2014 00:00:00 GMT+0000 (UTC),3757071,,,,,,,,,,151550,47968 
Tue May 06 2014 00:00:00 GMT+0000 (UTC),3807794,,,,,,,,,,151550,48620 
Wed May 07 2014 00:00:00 GMT+0000 (UTC),3859122,,,,,,,,,,151550,49180 
Thu May 08 2014 00:00:00 GMT+0000 (UTC),3908557,,,,,,,,,,151550,49894 
Fri May 09 2014 00:00:00 GMT+0000 (UTC),3956140,,,,,,,,,,151550,50417 
Sat May 10 2014 00:00:00 GMT+0000 (UTC),4012558,,,,,,,,,,151550,51108 
Sun May 11 2014 00:00:00 GMT+0000 (UTC),4061148,,,,,,,,,,151550,52010 
Mon May 12 2014 00:00:00 GMT+0000 (UTC),4109505,,,,,,,,,,151550,53097 
Tue May 13 2014 00:00:00 GMT+0000 (UTC),4159498,,,,,,,,,,151550,53784 
Wed May 14 2014 00:00:00 GMT+0000 (UTC),4212626,,,,,,,,,,151550,54209 
Thu May 15 2014 00:00:00 GMT+0000 (UTC),4268993,,,,,,,,,,151550,54591 
Fri May 16 2014 00:00:00 GMT+0000 (UTC),4323606,,,,,,,,,,151550,55102 
Sat May 17 2014 00:00:00 GMT+0000 (UTC),4373453,,,,,,,,,,151550,55625 
Sun May 18 2014 00:00:00 GMT+0000 (UTC),4420241,,,,,,,,,,151550,56217 
Mon May 19 2014 00:00:00 GMT+0000 (UTC),4468577,,,,,,,,,,151550,56862 
Tue May 20 2014 00:00:00 GMT+0000 (UTC),4520497,,,,,,,,,,151550,57339 
Wed May 21 2014 00:00:00 GMT+0000 (UTC),4572132,,,,,,,,,,151550,57935 
Thu May 22 2014 00:00:00 GMT+0000 (UTC),4626228,,,,,,,,,,151550,58568 
Fri May 23 2014 00:00:00 GMT+0000 (UTC),4680716,,,,,,,,,,151550,59287 
Sat May 24 2014 00:00:00 GMT+0000 (UTC),4731416,,,,,,,,,,151550,60111 
Sun May 25 2014 00:00:00 GMT+0000 (UTC),4777772,,,,,,,,,,151550,61277 
Mon May 26 2014 00:00:00 GMT+0000 (UTC),4824717,,,,,,,,,,151550,62761 
Tue May 27 2014 00:00:00 GMT+0000 (UTC),4874315,,,,,,,,,,151550,63523 
Wed May 28 2014 00:00:00 GMT+0000 (UTC),4930973,,,,,,,,,,151550,63994 
Thu May 29 2014 00:00:00 GMT+0000 (UTC),4986353,,,,,,,,,,151550,64489 
Fri May 30 2014 00:00:00 GMT+0000 (UTC),5041490,,,,,,,,,,151550,65017 
Sat May 31 2014 00:00:00 GMT+0000 (UTC),5093465,,,,,,,,,,151550,65628 
Sun Jun 01 2014 00:00:00 GMT+0000 (UTC),5142577,,,,,,,,,,151550,66500 
Mon Jun 02 2014 00:00:00 GMT+0000 (UTC),5192414,,,,,,,,,,151550,67250 
Tue Jun 03 2014 00:00:00 GMT+0000 (UTC),5247008,,,,,,,,,,151550,68046 
Wed Jun 04 2014 00:00:00 GMT+0000 (UTC),5301368,,,,,,,,,,151550,68547 
Thu Jun 05 2014 00:00:00 GMT+0000 (UTC),5356046,,,,,,,,,,151550,69121 
Fri Jun 06 2014 00:00:00 GMT+0000 (UTC),5411488,,,,,,,,,,151550,69730 
Sat Jun 07 2014 00:00:00 GMT+0000 (UTC),5469319,,,,,,,,,,151550,70695 
Sun Jun 08 2014 00:00:00 GMT+0000 (UTC),5517478,,,,,,,,,,151550,72474 
Mon Jun 09 2014 00:00:00 GMT+0000 (UTC),5567661,,,,,,,,,,151550,73827 
Tue Jun 10 2014 00:00:00 GMT+0000 (UTC),5621787,,,,,,,,,,151550,74659 
Wed Jun 11 2014 00:00:00 GMT+0000 (UTC),5676687,,,,,,,,,,151550,75677 
Thu Jun 12 2014 00:00:00 GMT+0000 (UTC),5738613,,,,,,,,,,151550,76694 
Fri Jun 13 2014 00:00:00 GMT+0000 (UTC),5798754,,,,,,,,,,151550,77711 
Sat Jun 14 2014 00:00:00 GMT+0000 (UTC),5860334,,,,,,,,,,151550,78596 
Sun Jun 15 2014 00:00:00 GMT+0000 (UTC),5914219,,,,,,,,,,151550,79567 
Mon Jun 16 2014 00:00:00 GMT+0000 (UTC),5963446,,,,,,,,,,151550,80563 
Tue Jun 17 2014 00:00:00 GMT+0000 (UTC),6026184,,,,,,,,,,151550,81213 
Wed Jun 18 2014 00:00:00 GMT+0000 (UTC),6080156,,,,,,,,,,151550,81939 
Thu Jun 19 2014 00:00:00 GMT+0000 (UTC),6136831,,,,,,,,,,151550,83201 
Fri Jun 20 2014 00:00:00 GMT+0000 (UTC),6196529,,,,,,,,,,151550,84225 
Sat Jun 21 2014 00:00:00 GMT+0000 (UTC),6249404,,,,,,,,,,151550,84930 
Sun Jun 22 2014 00:00:00 GMT+0000 (UTC),6300812,,,,,,,,,,151550,86615 
Mon Jun 23 2014 00:00:00 GMT+0000 (UTC),6359187,,,,,,,,,,151550,88054 
Tue Jun 24 2014 00:00:00 GMT+0000 (UTC),6412103,,,,,,,,,,151550,88732 
Wed Jun 25 2014 00:00:00 GMT+0000 (UTC),6468371,,,,,,,,,,151550,89213 
Thu Jun 26 2014 00:00:00 GMT+0000 (UTC),6525274,,,,,,,,,,151550,89741 
Fri Jun 27 2014 00:00:00 GMT+0000 (UTC),6588251,,,,,,,,,,151550,90607 
Sat Jun 28 2014 00:00:00 GMT+0000 (UTC),6644437,,,,,,,,,,151550,91774 
Sun Jun 29 2014 00:00:00 GMT+0000 (UTC),6698431,,,,,,,,,,151550,93087 
